MaDH,MaKH,MaCH,MaNV,NgayMua,TrangThai
DH00873,KH0193,CH04,NV009,2025-01-20,Hoàn thành
DH00874,KH0051,CH04,NV004,2025-12-31,Đang giao
DH00875,KH0179,CH01,NV015,2024-08-31,Hoàn thành
DH00876,KH0106,CH04,NV020,2024-10-04,Hoàn thành
DH00877,KH0255,CH02,NV012,2025-04-26,Đã hủy
DH00878,KH0088,CH03,NV020,20/07/2025,Đã hủy
DH00879,KH0292,CH03,NV009,2025-10-27,Hoàn thành
DH00880,KH0220,CH03,NV013,2024-07-13,Đang giao
DH00881,KH0231,CH04,NV017,2024-06-06,Đã hủy
DH00882,KH0296,CH04,NV012,2024-06-18,Đã hủy
DH00883,KH0103,CH02,NV004,04/10/2025,Hoàn thành
DH00884,KH0231,CH02,NV020,2024-12-10,Đang giao
DH00885,KH0018,CH03,NV009,2026-03-15,Hoàn thành
DH00886,KH0256,CH02,NV014,08/05/2024,Đã hủy
DH00887,KH0178,CH01,NV009,2026-04-27,Đã hủy
DH00888,KH0128,CH01,NV003,2025-04-25,Đã hủy
DH00889,KH0097,CH03,NV005,2024-06-15,Đã hủy
DH00890,KH0244,CH04,NV014,2024-12-26,Hoàn thành
DH00891,KH0248,CH04,NV003,26/12/2024,Đang giao
DH00892,KH0069,CH04,NV006,2024-09-03,Đang giao
DH00893,KH0281,CH03,NV016,2024-05-08,Đã hủy
DH00894,KH0079,CH02,NV006,22/01/2026,Đang giao
DH00895,KH0264,CH01,NV004,10/09/2024,Đã hủy
DH00896,KH0296,CH04,NV018,17/10/2025,Đã hủy
DH00897,KH0094,CH02,NV005,2024-05-18,Đã hủy
DH00898,KH0005,CH02,NV011,2025-03-09,Đang giao
DH00899,KH0144,CH01,NV010,2024-08-09,Đã hủy
DH00900,KH0158,CH04,NV007,2025-12-16,Đang giao
DH00901,KH0133,CH01,NV018,2025-06-06,Hoàn thành
DH00902,KH0103,CH04,NV019,30/03/2026,Đã hủy
DH00903,KH0191,CH04,NV010,2024-11-29,Đang giao
DH00904,KH0037,CH03,NV020,2025-03-30,Đã hủy
DH00905,KH0190,CH01,NV019,2025-04-10,Hoàn thành
DH00906,KH0298,CH01,NV010,2024-09-22,Đang giao
DH00907,KH0098,CH03,NV004,2024-07-24,Hoàn thành
DH00908,KH0190,CH04,NV012,2024-06-01,Hoàn thành
DH00909,KH0065,CH02,NV013,17/01/2025,Hoàn thành
DH00910,KH0218,CH04,NV018,2026-01-26,Hoàn thành
DH00911,KH0021,CH03,NV019,2024-09-24,Hoàn thành
DH00912,KH0083,CH04,NV004,2024-06-02,Đang giao
DH00913,KH0195,CH01,NV003,2025-11-03,Đã hủy
DH00914,KH0278,CH04,NV020,2025-07-03,Đang giao
DH00915,KH0081,CH02,NV020,2024-11-30,Đang giao
DH00916,KH0007,CH02,NV019,19/04/2025,Đang giao
DH00917,KH0012,CH02,NV010,2025-12-31,Đã hủy
DH00918,KH0177,CH02,NV014,2025-01-03,Đã hủy
DH00919,KH0215,CH04,NV008,2025-11-16,Đã hủy
DH00920,KH0133,CH02,NV004,2024-10-23,Đã hủy
DH00921,KH0166,CH02,NV012,2026-01-24,Đã hủy
DH00922,KH0172,CH04,NV010,2024-11-26,Đang giao
DH00923,KH0204,CH03,NV020,2025-08-11,Hoàn thành
DH00924,KH0168,CH04,NV011,2024-09-29,Hoàn thành
DH00925,KH0207,CH02,NV019,2025-02-01,Hoàn thành
DH00926,KH0073,CH03,NV012,2025-04-03,Đang giao
DH00927,KH0263,CH01,NV016,15/11/2024,Đang giao
DH00928,KH0033,CH01,NV004,2025-09-25,Đã hủy
DH00929,KH0293,CH02,NV004,2024-08-02,Đã hủy
DH00930,KH0201,CH04,NV016,2025-11-24,Hoàn thành
DH00931,KH0210,CH03,NV015,2025-07-13,Đã hủy
DH00932,KH0071,CH03,NV008,2024-11-23,Hoàn thành
DH00933,KH0259,CH03,NV019,2025-09-18,Hoàn thành
DH00934,KH0213,CH04,NV005,24/09/2025,Đã hủy
DH00935,KH0292,CH03,NV015,2025-08-07,Hoàn thành
DH00936,KH0069,CH04,NV004,2025-01-15,Hoàn thành
DH00937,KH0035,CH01,NV016,2024-09-11,Đã hủy
DH00938,KH0127,CH03,NV005,2026-02-20,Hoàn thành
DH00939,KH0164,CH01,NV010,2025-01-31,Đã hủy
DH00940,KH0109,CH03,NV006,2024-12-29,Hoàn thành
DH00941,KH0238,CH02,NV020,2024-06-30,Đang giao
DH00942,KH0074,CH04,NV010,2026-03-31,Đang giao
DH00943,KH0123,CH03,NV017,2025-09-10,Đang giao
DH00944,KH0203,CH03,NV014,2024-12-22,Hoàn thành
DH00945,KH0004,CH02,NV010,2026-04-10,Đã hủy
DH00946,KH0261,CH03,NV005,2025-12-28,Đã hủy
DH00947,KH0296,CH03,NV018,2025-07-30,Đang giao
DH00948,KH0024,CH03,NV020,10/12/2025,Hoàn thành
DH00949,KH0177,CH02,NV012,2025-07-17,Đang giao
DH00950,KH0232,CH02,NV015,24/05/2025,Hoàn thành
DH00951,KH0004,CH04,NV008,08/02/2026,Hoàn thành
DH00952,KH0014,CH04,NV018,2025-03-05,Hoàn thành
DH00953,KH0191,CH02,NV018,2024-10-01,Đang giao
DH00954,KH0013,CH04,NV019,2024-05-01,Đã hủy
DH00955,KH0272,CH04,NV019,2025-05-14,Đã hủy
DH00956,KH0148,CH01,NV014,2025-07-25,Đã hủy
DH00957,KH0185,CH02,NV012,2026-01-04,Đã hủy
DH00958,KH0243,CH04,NV003,12/08/2024,Hoàn thành
DH00959,KH0240,CH01,NV008,2024-12-26,Đã hủy
DH00960,KH0192,CH01,NV003,2026-04-06,Đang giao
DH00961,KH0016,CH03,NV018,14/02/2026,Hoàn thành
DH00962,KH0282,CH04,NV019,20/06/2025,Đang giao
DH00963,KH0016,CH01,NV006,2026-02-16,Đã hủy
DH00964,KH0185,CH02,NV018,2025-10-07,Hoàn thành
DH00965,KH0107,CH02,NV004,2025-01-28,Đang giao
DH00966,KH0102,CH02,NV012,08/07/2025,Đang giao
DH00967,KH0273,CH03,NV005,2025-04-21,Đã hủy
DH00968,KH0250,CH02,NV006,2025-12-03,Đang giao
DH00969,KH0090,CH03,NV006,2024-07-17,Đã hủy
DH00970,KH0055,CH01,NV004,13/11/2024,Đã hủy
DH00971,KH0298,CH03,NV012,2025-07-28,Đang giao
DH00972,KH0094,CH04,NV019,2024-06-05,Đang giao
DH00973,KH0179,CH02,NV019,23/04/2025,Đang giao
DH00974,KH0299,CH02,NV012,05/12/2024,Đang giao
DH00975,KH0143,CH01,NV016,2026-04-26,Đã hủy
DH00976,KH0094,CH01,NV010,2025-01-08,Đang giao
DH00977,KH0230,CH04,NV009,23/09/2024,Hoàn thành
DH00978,KH0210,CH03,NV005,2025-02-24,Đang giao
DH00979,KH0195,CH02,NV008,27/02/2025,Hoàn thành
DH00980,KH0123,CH01,NV012,2025-11-09,Đang giao
DH00981,KH0282,CH04,NV011,01/06/2024,Đã hủy
DH00982,KH0163,CH03,NV019,2026-03-04,Đã hủy
DH00983,KH0285,CH04,NV012,19/05/2024,Hoàn thành
DH00984,KH0027,CH03,NV015,2024-12-07,Đã hủy
DH00985,KH0192,CH02,NV019,2024-09-26,Hoàn thành
DH00986,KH0061,CH03,NV018,15/09/2024,Đã hủy
DH00987,KH0076,CH02,NV017,2025-03-15,Đang giao
DH00988,KH0257,CH02,NV016,2024-10-17,Đã hủy
DH00989,KH0185,CH04,NV007,24/12/2025,Hoàn thành
DH00990,KH0102,CH02,NV010,08/02/2025,Đang giao
DH00991,KH0056,CH01,NV016,2025-11-23,Đang giao
DH00992,KH0146,CH01,NV006,2024-07-24,Đang giao
DH00993,KH0063,CH04,NV020,28/02/2026,Đang giao
DH00994,KH0177,CH01,NV018,2024-11-22,Đang giao
DH00995,KH0204,CH01,NV008,2024-12-02,Đã hủy
DH00996,KH0088,CH03,NV012,07/09/2025,Đang giao
DH00997,KH0288,CH02,NV015,2024-06-09,Đã hủy
DH00998,KH0199,CH04,NV005,2026-01-03,Đang giao
DH00999,KH0046,CH03,NV006,2025-03-31,Hoàn thành
DH01000,KH0172,CH03,NV016,2024-09-26,Đã hủy
DH00886,KH0256,CH02,NV014,08/05/2024,Đã hủy
DH00597,KH0184,CH01,NV016,2024-12-02,Đã hủy
DH00818,KH0069,CH01,NV019,2026-02-09,Hoàn thành
DH00984,KH0027,CH03,NV015,2024-12-07,Đã hủy
DH00429,KH0253,CH03,NV004,2024-07-24,Hoàn thành
DH00664,KH0035,CH01,NV020,2024-06-03,Đang giao
DH00296,KH0034,CH03,NV015,2025-03-16,Hoàn thành
DH00315,KH0147,CH01,NV010,01/09/2024,Hoàn thành
DH00167,KH0053,CH03,NV014,2025-07-15,Hoàn thành
DH00284,KH0257,CH03,NV020,2025-08-24,Đang giao
DH00032,KH0070,CH03,NV009,2025-04-09,Hoàn thành
DH00327,KH0067,CH04,NV009,2025-10-07,Hoàn thành
DH00885,KH0018,CH03,NV009,2026-03-15,Hoàn thành
DH00837,KH0254,CH02,NV011,29/04/2024,Hoàn thành
DH00477,KH0112,CH02,NV007,2026-04-11,Đã hủy
DH00077,KH0174,CH01,NV004,13/04/2026,Đang giao
DH00711,KH0052,CH02,NV008,2025-07-22,Đang giao
DH00458,KH0159,CH02,NV003,28/04/2024,Hoàn thành
DH00849,KH0165,CH03,NV006,2025-09-21,Đang giao
DH00145,KH0031,CH03,NV008,2024-10-15,Đang giao
DH00130,KH0207,CH01,NV010,01/09/2025,Đã hủy
DH00386,KH0274,CH02,NV018,2024-06-12,Đang giao
DH00504,KH0206,CH01,NV013,2026-04-20,Hoàn thành
DH00479,KH0279,CH03,NV003,17/12/2024,Đã hủy
DH00900,KH0158,CH04,NV007,2025-12-16,Đang giao
DH00220,KH0261,CH01,NV003,2024-11-27,Đang giao
DH00249,KH0073,CH03,NV015,2024-07-07,Đang giao
DH00870,KH0079,CH02,NV003,2024-12-01,Đã hủy
DH00816,KH0214,CH04,NV016,2025-10-07,Đang giao
DH00222,KH0193,CH04,NV007,2025-04-13,Đang giao
